,addresses,zip,lat,long
0,3200 Thousand Oaks Dr,78247-3317,29.572974,-98.436752
1,6804 S Flores St,78221-1902,29.352534,-98.489222
2,215 Audrey Alene Dr,78216-6610,29.50326,-98.503986
3,3602 Se Military Dr,78223-4582,29.353559,-98.425234
4,100 Pansy Ln,78209,29.487718,-98.435759
5,3200 S Hackberry St,78210,29.388004,-98.473421
6,9910 Sugarloaf Dr,78245-1147,29.434926,-98.675149
7,3507 Piedmont Ave,78223-1367,29.382693,-98.466861
8,349 Alicia,78228-5806,29.447661,-98.579132
9,1502 W Mistletoe Ave,78201-5445,29.45436,-98.519284
10,5 Trophy Rdg,78258-7713,29.655751,-98.476729
11,4100 Culebra Rd,78228-4561,29.448494,-98.58517
12,25903 Turquoise Sky,78261-2588,29.684973,-98.43384
13,116 Golden Crown,78223,29.372391,-98.442481
14,3023 Thousand Oaks Dr,78247-3314,29.57497,-98.439315
15,4838 Old Pearsall Rd,78242,29.363546,-98.591292
16,23003 Treemont Park,78261-2677,29.65664,-98.425374
17,17203 Nw Military Hwy,78257-0003,29.603072,-98.565855
18,5126 Gwenda Lea,78242-2416,29.347491,-98.599311
19,12014 Canyon Rock Ln,,29.425173,-98.494599
20,4315 Rogers Rd,78251-3689,29.473775,-98.693107
21,9765 Potranco Rd,78251,29.437637,-98.680944
22,21700 Angostura Blvd,78261-2607,29.64181,-98.384193
23,109 Westoak Rd,78227-3523,29.401607,-98.634522
24,450 S Acme Rd,78237-2215,29.426206,-98.58761
25,11723 Whisper Valley,78230-3739,29.549848,-98.541879
26,6019 Stoney Creek Dr,78242-2639,29.343928,-98.614715
27,200 Castroville Rd,78207-5132,29.419934,-98.539472
28,3709 N St Mary'S St,78212-3165,29.458498,-98.477891
29,20710 Cactus Loop,78258-7454,29.634365,-98.46613
30,1804 Austin Hwy,78218-1713,29.499648,-98.421919
31,3310 Saunders,78207-4053,29.425718,-98.53575
32,1231 Rio Linda,78245-1425,29.422593,-98.679282
33,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
34,100 Ira Lee Rd,78218,29.501932,-98.421276
35,500 Groos Ave,78223,29.372261,-98.466707
36,100 Ira Lee Rd,78218,29.501932,-98.421276
37,1538 Clower St,78201-3540,29.47766,-98.522116
38,346 J St,78220-4022,29.404433,-98.443166
39,5350 Encanta,78233-6444,29.547609,-98.389562
40,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
41,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
42,10020 Ih 10 W,78230-2240,29.533531,-98.565239
43,6835 Us Hwy 90 W,78227-3610,29.40326,-98.626031
44,307 Azucena St,78237-1228,29.439434,-98.576196
45,7100 Covel,78227,29.360828,-98.640531
46,112 Claggett,78235-1004,29.350963,-98.445011
47,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
48,602 Olney Dr,78209-4941,29.488142,-98.435822
49,5601 Creekwood Dr,78233-4909,29.567219,-98.379306
50,4158 Briarglen,78218-1520,29.510826,-98.41141
51,13000 Pleasanton Rd,78221,29.292605,-98.502752
52,3935 Thousand Oaks Dr,78217-1803,29.560011,-98.419917
53,13631 Bluff Cir,78252-2271,29.378222,-98.711968
54,10000 W Commerce St,78227-1303,29.43614,-98.624162
55,1612 Martinez Losoya,78221-9811,29.240404,-98.469911
56,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
57,3015 S Pine St,78210-5159,29.385296,-98.469576
58,515 E Whittier St,78210-2939,29.39993,-98.475088
59,4770 Tpc Pkwy,78261,29.654128,-98.402892
60,22139 Us Hwy 281 N,78258-7647,29.647669,-98.451276
61,6254 Stahl Rd,78247-1013,29.594073,-98.363807
62,2380 Grosenbacher Rd,78245-3468,29.4018,-98.726622
63,346 J St,78220-4022,29.404433,-98.443166
64,3410 Belgium,78219-2502,29.439386,-98.432848
65,4207 Se Military Dr,78222,29.357601,-98.411111
66,9403 Wurzbach Rd,78240-1047,29.529917,-98.563485
67,458 E Vestal Place,78221-2452,29.347303,-98.491353
68,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
69,2009 Austin Hwy,78218-2504,29.502493,-98.4182
70,412 St Charles,78202-2036,29.43089,-98.464035
71,606 N Alamo St,78215-1809,29.430616,-98.48327
72,7703 Quintana Rd,78211-3546,29.348358,-98.580823
73,1800 Austin Hwy,78218-1713,29.499371,-98.422432
74,8322 Quintana Rd,78211,29.34487,-98.584064
75,6006 Valley Lawn,78250-3963,29.500078,-98.67968
76,200 Arvil Ave,,29.425173,-98.494599
77,418 Fair Ave,78223-1114,29.38419,-98.470434
78,9100 Valley Bend,78250-4905,29.499916,-98.679687
79,1800 Austin Hwy,78218-1713,29.499371,-98.422432
80,23500 Ih 10 W,78257,29.656913,-98.625633
81,11221 San Pedro Ave,78216-3119,29.542981,-98.491645
82,200 Arvil Ave,,29.425173,-98.494599
83,7215 Geranium Path,78218-3090,29.496533,-98.374601
84,108 Chappie James Way,78236-0122,29.386901,-98.599855
85,1800 Austin Hwy,78218-1713,29.499371,-98.422432
86,2600 Marlborough Dr,78230-4539,29.521051,-98.535722
87,1800 Austin Hwy,78218-1713,29.499371,-98.422432
88,1612 Martinez Lasoya,,29.425173,-98.494599
89,12701 West Ave,78216-1801,29.558287,-98.496829
90,1916 Austin Hwy,78218-2501,29.500009,-98.4213
91,6123 Enrique M Barrera Pkwy,78227,29.410668,-98.610585
92,1612 Martinez Losoya,78221-9811,29.240404,-98.469911
93,108 Chappie James Way,78236-0122,29.386901,-98.599855
94,12701 West Ave,78216-1801,29.558287,-98.496829
95,1800 Austin Hwy,78218-1713,29.499371,-98.422432
96,12701 West Ave,78216-1801,29.558287,-98.496829
97,108 Chappie James Way,78236-0122,29.386901,-98.599855
98,3714 Neer Ave,78213-4522,29.489322,-98.520428
99,3800 Parkdale Dr,78229-2031,29.526269,-98.559494
100,10477 Nacogdoches Rd,78217-2842,29.535054,-98.427732
101,1618 Wrangler Dr,78227-2781,29.417041,-98.642585
102,10700 Ingram Rd,78245-2103,29.426046,-98.666057
103,3259 Morning Crk,78247-3325,29.573504,-98.434188
104,827 Fresno St,78212-1304,29.474191,-98.507175
105,134 Merrick St,78214-1230,29.384862,-98.501273
106,8027 Rimfire Dr,78227-2666,29.412637,-98.646687
107,4400 Horizon Hill Blvd,78229-2200,29.518382,-98.559002
108,1200 Wonder Pkwy,78213,29.500277,-98.53169
109,130 Ligustrum Dr E,78228-4007,29.465403,-98.563556
110,108 Chappie James Way,78236-0122,29.386901,-98.599855
111,23500 Ih 10 W,78257,29.656913,-98.625633
112,1800 Austin Hwy,78218-1713,29.499371,-98.422432
113,1612 Martinez Losoya,78221-9811,29.240404,-98.469911
114,1916 Austin Hwy,78218-2501,29.500009,-98.4213
115,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
116,8500 Military Dr W,78245,29.442911,-98.639112
117,4600 Military Dr Sw,78253,29.447346,-98.718672
118,315 Burnet St,78202-1911,29.428888,-98.478501
119,4514 Avenida Prima,78233-6903,29.544295,-98.403201
120,8430 Military Dr W,78227,29.436014,-98.632063
121,9280 Marymont Park,78217-3400,29.525014,-98.430501
122,307 Merrimac St,78223-2067,29.37354,-98.470791
123,12251 Farview Ln,78216-8507,29.552474,-98.475009
124,630 Ware Blvd,78221-1938,29.34894,-98.491038
125,1043 Kentucky Ave,78201-6047,29.446674,-98.528766
126,207 Mayberry Ave,78228-6030,29.440263,-98.564361
127,108 Chappie James Way,78236-0122,29.386901,-98.599855
128,130 Ligustrum Dr E,78228-4007,29.465403,-98.563556
129,111 Yolanda,78228-5860,29.442273,-98.578782
130,1235 Lombrano St,78207-1420,29.443226,-98.528911
131,8100 Marbach Rd,78227-1686,29.417817,-98.647048
132,612 Avondale Ave,78223-2617,29.370659,-98.456302
133,23500 Ih 10 W,78257,29.656913,-98.625633
134,1800 Austin Hwy,78218-1713,29.499371,-98.422432
135,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
136,10127 Morocco Dr,78216-3911,29.534935,-98.493089
137,4410 Gevers St S,78223,29.37415,-98.456705
138,23500 Ih 10 W,78257,29.656913,-98.625633
139,2627 Culebra Rd,78228-6357,29.447621,-98.550354
140,1427 Harry Wurzbach,78209-6113,29.474036,-98.435964
141,108 Chappie James Way,78236-0122,29.386901,-98.599855
142,1500 Harness Ln,78227,29.417251,-98.647045
143,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
144,1618 Wrangler Dr,78227-2781,29.417041,-98.642585
145,4200 Piedmont Ave,78223-1217,29.375531,-98.468375
146,10447 Nacogdoches Rd,78217-2842,29.534993,-98.42781
147,7371 Brook Valley Dr,78242-2113,29.35095,-98.615796
148,1612 Martinez Losoya,78221-9811,29.240404,-98.469911
149,6110 Rose Valley,78242-2521,29.346273,-98.622231
150,7000 Military Dr W,78227-2941,29.40837,-98.629181
151,11400 Starcrest Dr,78216,29.546262,-98.454656
152,1800 Austin Hwy,78218-1713,29.499371,-98.422432
153,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
154,2300 West Ave,78201-2231,29.482086,-98.525936
155,1530 Lennon Ave,78223-2580,29.371458,-98.471522
156,2300 Avenue B,78215-1029,29.448779,-98.475766
157,6102 Rose Valley,78242-2521,29.346295,-98.622017
158,108 Chappie James Way,78236-0122,29.386901,-98.599855
159,1800 Austin Hwy,78218-1713,29.499371,-98.422432
160,12251 Farview Ln,78216-8507,29.552474,-98.475009
161,10090 Commerce St W,78227-1303,29.436404,-98.631014
162,6215 Ridge Place,78250-4014,29.491862,-98.672572
163,1800 Austin Hwy,78218-1713,29.499371,-98.422432
164,8802 Troy Dr,78221-3637,29.337223,-98.485901
165,2006 Rio Samba,78258-4915,29.660005,-98.458411
166,108 Chappie James Way,78236-0122,29.386901,-98.599855
167,2428 Clower St,78201-3344,29.477758,-98.534675
168,1612 Martinez Losoya,78221-9811,29.240404,-98.469911
169,8430 Military Dr W,78227,29.436014,-98.632063
170,874 New Valley Hi Dr,78227,29.377539,-98.648545
171,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
172,939 Koehler Ct,78223-2958,29.366431,-98.450566
173,22139 Us Hwy 281 N,78258-7647,29.647669,-98.451276
174,841 Rice Rd,78220-3513,29.409101,-98.403987
175,2424 Vera Cruz St,78207-6149,29.416674,-98.518168
176,1000 Malone W,78225-1748,29.387135,-98.519727
177,21000 Stone Oak Pkwy,78258-7431,29.649369,-98.452699
178,310 Commerce St W,78205-2409,29.425144,-98.496102
179,2555 Sunset Bend,78244-1025,29.452748,-98.366534
180,8138 Donore Place,78229-2620,29.513577,-98.561941
181,201 Walters St N,78202-3251,29.420454,-98.45228
182,902 San Augustine S,78237-2935,29.418188,-98.556406
183,400 Soledad St,78205,29.428202,-98.493299
184,26480 Us Hwy 281 N,78258-7215,29.692411,-98.452214
185,3714 Neer Ave,78213-4522,29.489322,-98.520428
186,103 Morgans Cir,78216-8506,29.550272,-98.473661
187,1800 Austin Hwy,78218-1713,29.499371,-98.422432
188,108 Chappie James Way,78236-0122,29.386901,-98.599855
189,23500 Ih 10 W,78257,29.656913,-98.625633
190,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
191,802 Erie Ave,78212-4404,29.44018,-98.489514
192,850 Lee Hall,78212-1350,29.476024,-98.506842
193,19840 Cresta Bella,,29.425173,-98.494599
194,2322 Dakota St,78203-2114,29.415836,-98.451221
195,20818 Wild Springs Dr,78258-7412,29.636316,-98.458228
196,1000 Rio Grande St N,78202,29.427256,-98.447398
197,901 Sonterra Blvd,78258-4115,29.615581,-98.498397
198,5150 De Zavala Rd,78249-2027,29.565764,-98.583981
199,5700 Elm Valley Dr,78242-1735,29.36005,-98.613411
200,823 Dolorosa,78207,29.424344,-98.498726
201,1112 Muncey,78208-1311,29.439582,-98.467102
202,234 Sunset Rd E,78209-2760,29.507216,-98.463235
203,300 Walton Ave,78225-1456,29.393046,-98.524144
204,20814 Wild Springs Dr,78258-7412,29.636341,-98.45823
205,3215 Northwestern Dr,78238-4000,29.464943,-98.625099
206,111 Lexington Ave,78205,29.431787,-98.488889
207,515 Woodcrest Dr,78209-2938,29.50303,-98.449059
208,151 Paul St,78203-1337,29.415262,-98.468212
209,108 Chappie James Way,78236-0122,29.386901,-98.599855
210,10221 Desert Sands Dr,78216-3913,29.533992,-98.492721
211,2011 Dollarhide Ave,78223-3201,29.366579,-98.437626
